Comment #,Assigned to:,Sentence,Prosocial,Abusive
12834217,572066,"As of March 13th , 2014 , the booklet had been downloaded over 18,300 times and counting .",N/A,No
12834217,572066,"In order to help increase the booklets downloads , it would be great if all Stormfronters who had YouTube accounts , could display the following text in the description boxes of their uploaded YouTube videos .",N/A,No
12834217,572066,( Simply copy and paste the following text into your YouTube videos description boxes. ),N/A,No
12834217,572066,Click below for a FREE download of a colorfully illustrated 132 page e-book on the Zionist-engineered INTENTIONAL destruction of Western civilization .,N/A,Yes
12834217,572066,Click on the `` DOWNLOAD ( 7.42 MB ) '' green banner link .,N/A,No
12834217,572066,"Booklet updated on Feb. 14th , 2014 .",N/A,No
12834217,572066,"( Now with over 18,300 Downloads. )",N/A,No
12834217,572066,PDF file : http://www.mediafire.com/download/7p3p3goadvvqvsf/WNDebateBooklet_2-14-14.pdfMSWordfile:http://www.mediafire.com/download/psezkkk4d6a3wt1/WNDebateBooklet _ 2-14-14.docx Watch the 10 hour video version of `` The Zionist Attack on Western Civilization '' @ http://trutube.tv/video/14247/The-Zionist-Attack-on-Western-Civilization-Pages-1-33-Part-1-of-4-Banned-from-YouTubeNotepadPromotionalYouTubeComment:http://www.mediafire.com/download/96fg6ft02lyfruz/Booklet _ White _ YT _ Comment _ ( Hyperlinked ) .txt http://www.mediafire.com/download/zcn3wozjbwnezms/Booklet-White-YT-Comment- ( Hyperlinked-Back-Up % 5D.txt http://www.mediafire.com/download/9uyudq1yuxu1dur/Booklet+Comment+%28Firefox%29.txt2minutepromotionalBOOKLETvideo@http://www.youtube.com/watch ? v = _ 8hg254ALpM Are you interested in helping spread the booklet download link across the world ?,N/A,No
12834217,572066,Then why not simply copy this text ( & links ) and paste it into the description box of your YouTube videos ?,N/A,No
12834217,572066,Thank you in advance. : ) Download the youtube `` description box '' info text file below @ http://www.mediafire.com/download/dqhn1czprr17o21/Booklet-Description-Box _ Info.txt,N/A,No
12834278,572066,"As of December 31st , 2013 at about 8 AM PST , the booklet had been downloaded 16,270 times and counting .",N/A,No
12834278,572066,"In order to help increase the booklets downloads , it would be great if all Stormfronters who had YouTube accounts , could display the following text in the description boxes of their uploaded YouTube videos .",N/A,No
12834278,572066,Click below for a FREE download of a colorfully illustrated 132 page e-book on the Zionist-engineered INTENTIONAL destruction of Western civilization .,N/A,Yes
12834278,572066,Click on the `` DOWNLOAD ( 7.39 MB ) '' link .,N/A,No
12834278,572066,"Booklet updated on Dec. 9th , 2013 .",N/A,No
12834278,572066,"( Now over 16,000 Downloads ! )",N/A,No
12834278,572066,PDF file : http://www.mediafire.com/download/4w18ocon384cx6c/WN-Debate-Booklet+12-09-13.pdfMSWordfile:http://www.mediafire.com/download/7ic1n7oq7jidz22/WN-Debate-Booklet + 12-09-13.docx Watch the 10 hour video version of `` The Zionist Attack on Western Civilization '' @ http://trutube.tv/video/14247/The-Zionist-Attack-on-Western-Civilization-Pages-1-33-Part-1-of-4-Banned-from-YouTubeNotepadPromotionalYouTubeComment:http://www.mediafire.com/download/96fg6ft02lyfruz/Booklet _ White _ YT _ Comment _ ( Hyperlinked ) .txt http://www.mediafire.com/download/zcn3wozjbwnezms/Booklet-White-YT-Comment- ( Hyperlinked-Back-Up % 5D.txt http://www.mediafire.com/view/9uyudq1yuxu1dur/Booklet+Comment+%28Firefox%29.txtOriginal2minutepromotionalBOOKLETvideo@http://www.youtube.com/watch ? v = n663eVTSyS8 Are you interested in helping spread the booklet download link across the world ?,N/A,No
12834278,572066,Then why not simply copy this text ( & links ) and paste it into the description box of your YouTube videos ?,N/A,No
12834278,572066,Thank you in advance. : ) Download the youtube `` description box '' info text file below @ http://www.mediafire.com/download/gxv2b33v37la6pz/Booklet % 20Description % 20Box % 20Info.txt,N/A,No
12834493,572058,"She may or may not be a Jew but she 's certainly stupid , she seems to think the Blacks wo n't kill her alongside every other White they can get their dirty hands on , what a muppet !",N/A,Yes
12834922,572429,These are the kind of stories that most of the time come out of India and Pakistan .,N/A,No
12834922,572429,God knows what would come out of Africa if only blacks could come up with investigative journalism .,N/A,Yes
12834998,572462,Please vote in this poll : Will You Publicly Condemn Those Who Advocate the Murder of Women and Children ?,N/A,No
12834998,572462,https : //www.stormfront.org/forum/show ... te-519823.html,N/A,No
12835050,572385,"I'm insulted by how stupid the Jews think we are until I see what they see by reading the posts amongst our so-called , `` Awakened Brethren . ''",N/A,Yes
12835666,572690,"Many many religious people are just following their programming , mixed in with a little personal interpretation and maybe a voice or two in their heads .",N/A,No
12842136,574818,"We are trying to get people in every White nation around the world to distribute White Nationalist flyers on Saturday night , October 13th .",N/A,No
12842136,574818,Can we count you in ?,N/A,No
12842136,574818,They can be downloaded from these sites : www.solargeneral.com www.natvan.com www.ncoal.com,N/A,No
12842139,572413,"Yeah you can count on it , there will be lot of people on the streets that day protesting against this jew government what we have here .",N/A,No
12842423,572506,Does it surprise you that jews promote faggotry ?,N/A,Yes
12842423,572506,"It 's another way to destroy Hungarians on top of promoting * * * * * * music , race mixing and pornography .",N/A,Yes
12842670,574912,"I watch fights on gay parade in budapest together with my friends from hungary , we were together on vacation in one croatian island , it was great to watch how hungarian nationalists were smashing gay parade btw I have some hungarian blood , my grandmother was hungarian Kitartas !",N/A,Yes
12842828,574938,hello all im thinking of going to europe in the next couple weeks and am trying to decide between ireland and eastern europe .,N/A,No
12842828,574938,"If I go to the east ill definitely go to budapest , feel free to pm me if you want to meet up .",N/A,No
12843037,574957,i have been talking about it for years. the filthy muslims putting their sight on africa. in some ways they are worst then blacks .,N/A,Yes
12843051,573069,Just saw an video that i would share with you guys YouTube - `` WHITE GENOCIDE IN AFRICA '' THE BEGINNING OF THE END !,N/A,No
12843096,572191,I would like to have a look round too Planning it for later this year Just a look round Looks like a beautiful country from the air ( google ),N/A,No
12843221,575003,Thank you for the info. i will deffinetly look into them .,N/A,No
12843221,575003,I hope there is room for one more as i am very excited about this .,N/A,No
12843325,572191,We have a little piece of legislation called the Prohibition of Foreign Military Assistance Act This prohibits mercs from operating in South Africa. on pain of five years of hell in a kaffer jail .,N/A,Yes
12843669,575072,"Also, I think I did a dumb thing by using my real name as a user name ... anyway I can change it ?",N/A,No
12843669,575072,Please advise .,N/A,No
12843892,575117,going to the show over in the third district on saturday im trying to go but probly will need a ride home thanks,N/A,No
12843894,575117,im back on the other side of the pond now and i was actualy in the 17th district but thanks the heads up,N/A,No
12843989,572337,"Exactly, I stand alone here .",N/A,No
12843989,572337,Voice my opinions without riding the coat tails of others .,N/A,No
12843989,572337,You are welcome to grab on if you like !,N/A,No
12843993,572794,My heart goes out to you ..,N/A,No
12843993,572794,"True , you have to have money to leave but it seems like no one is helping ya 'll .",N/A,No
12844294,575200,Day Of Honour was good this year we come back next year greetz from Flanders ( belgium ) Heil Hongary Heil Flanders Heil Blood an honour world wide,N/A,No
12844355,572531,I know what you mean .,N/A,No
12844355,572531,"Sometimes I watch television here and the camera man asks some Americans where Canada is , most dont even know .",N/A,No
12844435,575210,"A becsület napjás videó nagyon tuti , mindig amikor nézek felvételeket , vagy ismerőseim , barátaim mesélik , hihetetlen sajnálom , h a tanév pont úgy esik , h nem tudok ott lenni ...",N/A,Yes
12844435,575210,"The video about the `` Day of honour '' , is really cool .",N/A,No
12844435,575210,"Every time , when i watch these videos , or my friends , mates tells me about it , i always feel bad about , that i have to be here , becouse of the university ...",N/A,No
12844556,572453,I watched the video and my observations are that the music has very little in common with bulgarian .,N/A,No
12844556,572453,But the dance itself has elements also found it Bulgaria .,N/A,No
12844556,572453,I have to go now but I will post as soon as possible .,N/A,No
12845075,572191,I think he had a near death experience and saw where he is going and now he 's clinging to life with desperate tenacity,N/A,No
12845096,572413,I guess it 's time for a new update !,N/A,No
12845096,572413,Adrien Holboth Julia Kovacs Anita Salata Dora Barkaszi Zsofia Buki Beata Frank Eszter Gulyas Eniko Halasz Ramona Kiss Marta Knoll Szandra Proksa,N/A,No
